County,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3,State
Autauga,73,1,12,,8,52,429,146,233,50,,ALABAMA - Metropolitan Counties
Baldwin,127,1,5,,23,98,613,229,342,42,,
Bibb,0,0,0,,0,0,37,20,14,3,,
Blount,394,1,17,,9,367,867,261,501,105,,
Calhoun,23,0,7,,5,11,319,137,181,1,,
Chilton,151,0,10,,3,138,592,247,295,50,,
Elmore,88,4,22,,7,55,677,223,408,46,,
Etowah,135,1,20,,7,107,480,149,255,76,,
Geneva,46,1,9,,2,34,205,71,106,28,,
Hale,33,0,2,,2,29,139,73,55,11,,
Henry,13,0,1,,1,11,86,34,44,8,,
Houston,114,4,18,,7,85,616,179,395,42,,
Jefferson,693,5,48,,173,467,"2,659","1,589",919,151,31,
Lauderdale,30,1,2,,0,27,285,54,190,41,,
Lawrence,70,0,7,,6,57,326,105,189,32,,
Lee,443,10,21,,18,394,"1,296",389,807,100,,
Limestone,120,0,29,,9,82,829,202,565,62,,
Lowndes,51,2,5,,9,35,224,96,108,20,,
Madison,341,2,44,,39,256,"2,257",576,"1,474",207,,
Mobile,151,9,13,,26,103,"2,149",612,"1,299",238,,
Montgomery,117,1,4,,8,104,360,121,198,41,,
Morgan,71,0,10,,2,59,373,192,165,16,,
Russell,66,2,20,,5,39,372,124,206,42,,
Shelby,111,3,25,,8,75,886,251,537,98,,
St. Clair,236,0,20,,4,212,541,214,303,24,,
Tuscaloosa,185,1,6,,22,156,"1,234",387,726,121,,
Walker,121,2,18,,10,91,908,262,526,120,,
Barbour,32,0,4,,2,26,124,50,65,9,,ALABAMA - Nonmetropolitan Counties
Butler,51,2,3,,6,40,140,47,87,6,,
Chambers,1,0,0,,0,1,89,36,53,0,,
Cherokee,72,2,9,,4,57,387,147,192,48,,
Clarke,54,3,5,,2,44,105,47,47,11,,
Clay,2,0,0,,0,2,38,9,27,2,,
Cleburne,7,0,1,,0,6,145,40,96,9,,
Coffee,28,0,6,,0,22,153,68,73,12,,
Coosa,23,0,1,,1,21,174,54,102,18,,
Covington,19,0,3,,1,15,151,52,84,15,,
Cullman,58,2,24,,1,31,910,245,574,91,,
Dale,38,1,12,,1,24,248,64,161,23,,
Dallas,76,1,8,,4,63,428,173,229,26,,
DeKalb,162,2,18,,2,140,736,225,403,108,,
Escambia,3,0,0,,0,3,36,10,20,6,,
Franklin,45,1,5,,4,35,300,85,182,33,,
Greene,42,0,0,,5,37,126,71,49,6,,
Marengo,35,1,1,,4,29,183,72,105,6,,
Marion,31,3,3,,0,25,217,91,115,11,,
Marshall,45,1,9,,1,34,454,189,227,38,,
Monroe,41,1,0,,3,37,116,51,62,3,,
Pike,21,1,0,,2,18,100,27,69,4,,
Talladega,120,2,9,,12,97,708,210,430,68,,
Tallapoosa,25,1,3,,0,21,131,56,68,7,,
Washington,42,2,4,,1,35,137,44,65,28,,
Wilcox,52,2,2,,1,47,137,64,59,14,,
Cochise,212,2,10,,4,196,606,89,458,59,0,ARIZONA - Metropolitan Counties
Coconino,99,3,15,,4,77,419,113,288,18,20,
Maricopa,"1,146",22,100,,110,914,"5,365","1,250","3,455",660,77,
Pima,652,18,77,,172,385,"8,936","1,674","6,660",602,69,
Pinal,263,4,44,,13,202,"1,640",442,987,211,10,
Yavapai,226,4,22,,9,191,"1,028",280,653,95,12,
Yuma,131,6,20,,6,99,"1,004",387,535,82,5,
Graham,5,0,1,,0,4,129,30,95,4,13,ARIZONA - Nonmetropolitan Counties
Greenlee,0,0,0,,0,0,60,30,16,14,0,
La Paz,38,3,2,,3,30,407,155,222,30,0,
Navajo,73,6,8,,4,55,409,159,214,36,6,
Benton,95,2,26,,2,65,663,328,300,35,3,ARKANSAS - Metropolitan Counties
Cleveland,10,0,2,,1,7,71,30,38,3,2,
Craighead,46,1,17,,0,28,343,102,205,36,6,
Crawford,89,2,14,,0,73,422,99,268,55,0,
Crittenden,128,7,8,,20,93,338,129,180,29,2,
Faulkner,122,1,27,,3,91,"1,040",285,609,146,10,
Garland,357,0,47,,20,290,"1,723",831,763,129,0,
Grant,47,0,4,,0,43,206,65,123,18,0,
Jefferson,82,1,13,,6,62,405,159,200,46,6,
Lincoln,16,0,1,,0,15,76,29,38,9,0,
Little River,11,0,3,,0,8,71,27,36,8,0,
Lonoke,104,1,13,,8,82,456,87,274,95,2,
Madison,22,0,4,,1,17,73,35,32,6,2,
Miller,27,1,11,,1,14,315,118,159,38,0,
Perry,46,0,2,,1,43,150,36,114,0,0,
Poinsett,6,0,4,,0,2,1,1,0,0,0,
Pulaski,375,5,24,,27,319,"1,831",411,"1,190",230,9,
Saline,158,2,28,,4,124,837,255,467,115,6,
Sebastian,62,0,15,,2,45,313,104,190,19,5,
Washington,188,3,18,,0,167,564,185,329,50,5,
Arkansas,10,0,0,,3,7,129,42,73,14,2,ARKANSAS - Nonmetropolitan Counties
Ashley,22,0,6,,1,15,184,71,100,13,1,
Baxter,57,0,13,,1,43,682,84,551,47,2,
Boone,179,0,36,,2,141,310,97,184,29,1,
Bradley,8,0,2,,0,6,29,24,2,3,0,
Calhoun,4,0,1,,0,3,53,20,30,3,1,
Carroll,41,2,7,,0,32,17,1,11,5,1,
Chicot,3,0,1,,0,2,76,26,50,0,0,
Clark,22,0,0,,1,21,86,18,58,10,1,
Clay,6,0,2,,0,4,41,17,21,3,0,
Cleburne,78,2,22,,0,54,330,97,199,34,2,
Columbia,27,2,1,,0,24,53,28,23,2,2,
Conway,21,0,10,,0,11,285,53,203,29,7,
Cross,26,0,3,,1,22,121,35,74,12,9,
Dallas,4,0,0,,0,4,21,10,11,0,0,
Drew,18,0,2,,0,16,131,42,77,12,2,
Franklin,52,0,8,,0,44,267,100,149,18,3,
Fulton,13,0,2,,0,11,66,0,61,5,0,
Greene,25,0,7,,0,18,216,71,135,10,1,
Hempstead,31,1,3,,1,26,214,66,121,27,2,
Hot Spring,44,1,6,,2,35,226,75,116,35,3,
Howard,10,0,0,,0,10,44,32,12,0,0,
Independence,152,2,15,,1,134,479,160,269,50,20,
Izard,34,0,12,,0,22,245,69,158,18,7,
Jackson,25,0,4,,0,21,172,46,98,28,1,
Johnson,29,2,6,,2,19,180,110,50,20,3,
Lawrence,10,0,1,,1,8,71,26,40,5,2,
Lee,9,0,0,,0,9,73,26,39,8,0,
Logan,46,2,7,,2,35,280,100,156,24,3,
Marion,51,0,9,,1,41,288,77,198,13,7,
Mississippi,42,1,10,,2,29,303,98,173,32,3,
Monroe,3,0,1,,0,2,44,10,22,12,0,
Newton,26,1,3,,0,22,90,35,49,6,3,
Ouachita,30,0,2,,0,28,98,33,51,14,3,
Pike,4,0,0,,1,3,49,20,26,3,0,
Polk,38,0,10,,0,28,99,31,63,5,4,
Pope,78,1,11,,4,62,416,173,183,60,10,
Prairie,4,0,1,,0,3,42,11,28,3,0,
Randolph,29,0,11,,1,17,171,38,126,7,1,
Scott,18,0,4,,1,13,75,22,43,10,2,
Searcy,11,0,3,,0,8,56,21,32,3,0,
Sevier,27,2,5,,0,20,75,37,36,2,3,
St. Francis,17,0,5,,1,11,281,87,192,2,1,
Stone,26,0,4,,0,22,84,40,41,3,4,
Union,49,0,2,,6,41,298,113,165,20,0,
Van Buren,39,1,3,,0,35,219,29,162,28,1,
White,158,1,39,,2,116,827,230,493,104,3,
Woodruff,0,0,0,,0,0,45,9,28,8,0,
Yell,32,3,3,,1,25,225,77,120,28,3,
Alameda,589,8,30,,204,347,"2,195",490,"1,104",601,20,CALIFORNIA - Metropolitan Counties
Butte,183,3,34,,28,118,"1,344",656,666,22,0,
Contra Costa,347,9,25,,108,205,"1,485",505,957,23,20,
El Dorado,291,1,53,,37,200,"2,085",512,"1,534",39,5,
Fresno,"1,177",12,29,,82,"1,054","3,798","1,625","1,468",705,170,
Imperial,161,2,8,,12,139,453,129,298,26,9,
Kern,"2,403",44,177,,443,"1,739","10,440","3,161","5,109","2,170",281,
Kings,157,4,16,,16,121,426,164,236,26,4,
Los Angeles,"6,124",94,307,,"1,474","4,249","17,498","3,816","9,328","4,354",227,
Madera,434,4,28,,19,383,"1,102",517,568,17,2,
Marin,72,3,4,,19,46,730,172,554,4,1,
Merced,542,2,18,,33,489,"1,541",601,886,54,8,
Monterey,286,11,18,,54,203,"1,377",303,"1,041",33,11,
Napa,61,0,7,,8,46,270,93,175,2,0,
Orange,229,0,20,,30,179,"1,123",213,765,145,11,
Placer,261,1,33,,34,193,"1,539",471,"1,040",28,8,
Riverside,841,28,56,,177,580,"7,651","1,695","4,630","1,326",22,
Sacramento,"2,797",42,155,,880,"1,720","10,142","3,062","6,943",137,68,
San Benito,39,1,6,,4,28,126,64,52,10,1,
San Bernardino,924,12,88,,151,673,"5,235","1,525","2,513","1,197",54,
San Diego,"1,422",29,115,,206,"1,072","4,617","1,131","2,656",830,26,
San Joaquin,793,7,26,,174,586,"3,072",826,"2,106",140,19,
San Luis Obispo,356,0,21,,16,319,"1,384",441,920,23,10,
San Mateo,298,1,57,,64,176,"2,843",454,"2,089",300,9,
Santa Barbara,265,4,49,,32,180,"1,639",476,"1,146",17,7,
Santa Clara,316,4,46,,15,251,"1,312",260,826,226,5,
Santa Cruz,285,1,36,,44,204,"2,050",485,"1,533",32,14,
Shasta,519,5,58,,22,434,962,451,471,40,23,
Solano,92,1,2,,17,72,312,115,139,58,9,
Sonoma,583,3,91,,48,441,"1,450",494,937,19,12,
Stanislaus,470,11,42,,134,283,"1,821",726,"1,034",61,14,
Sutter,88,1,7,,6,74,618,235,329,54,2,
Tulare4,350,19,28,,62,241,"2,074",756,"1,318",0,1,
Ventura,171,2,29,,19,121,767,224,467,76,11,
Yolo,56,0,8,,7,41,248,69,158,21,4,
Yuba,210,3,11,,32,164,"1,086",335,744,7,18,
Alpine,6,0,0,,0,6,34,7,26,1,0,CALIFORNIA - Nonmetropolitan Counties
Amador,53,0,6,,8,39,371,142,225,4,3,
Calaveras,169,3,26,,16,124,535,183,341,11,0,
Colusa,31,0,2,,6,23,186,78,108,0,0,
Del Norte,115,0,30,,11,74,355,251,96,8,7,
Glenn,34,1,0,,1,32,159,60,96,3,1,
Humboldt,265,9,22,,57,177,773,366,385,22,4,
Inyo,85,0,7,,5,73,158,67,84,7,1,
Lake,179,2,17,,15,145,635,337,283,15,11,
Lassen,43,1,4,,2,36,202,87,114,1,0,
Mariposa,80,0,12,,1,67,217,53,161,3,0,
Mendocino,346,7,42,,19,278,477,246,228,3,5,
Modoc,19,1,3,,0,15,44,9,35,0,0,
Mono,16,1,2,,1,12,51,20,31,0,0,
Nevada,80,5,4,,5,66,697,285,395,17,3,
Plumas,120,2,10,,6,102,335,120,207,8,1,
Sierra,14,0,0,,0,14,26,8,18,0,1,
Siskiyou,52,2,5,,2,43,225,118,102,5,1,
Tehama,163,3,6,,12,142,371,235,130,6,2,
Trinity,65,3,3,,6,53,234,101,133,0,0,
Tuolumne,159,1,45,,9,104,737,350,377,10,6,
Adams,523,11,94,,93,325,"2,954",437,"1,582",935,33,COLORADO - Metropolitan Counties
Arapahoe,269,4,74,,46,145,"1,381",269,904,208,25,
Boulder,83,1,20,,6,56,586,161,388,37,10,
Clear Creek,15,0,1,,0,14,64,10,48,6,18,
Douglas,326,2,133,,7,184,"1,939",380,"1,366",193,29,
El Paso,390,7,80,,25,278,"2,186",402,"1,526",258,30,
Gilpin,4,0,1,,0,3,47,12,32,3,1,
Jefferson,224,2,66,,15,141,"2,889",454,"2,167",268,13,
Larimer,171,2,26,,10,133,930,208,625,97,7,
Mesa,180,5,51,,6,118,"1,258",237,924,97,8,
Park,16,1,2,,0,13,67,28,29,10,2,
Pueblo,35,2,1,,6,26,"1,309",291,858,160,3,
Teller,6,0,1,,0,5,90,23,59,8,1,
Weld,102,0,12,,6,84,847,259,472,116,4,
Alamosa,6,0,2,,0,4,73,9,59,5,0,COLORADO - Nonmetropolitan Counties
Archuleta,19,0,3,,1,15,106,32,71,3,0,
Baca,1,0,0,,0,1,1,0,1,0,0,
Bent,7,0,2,,1,4,139,63,71,5,1,
Chaffee,0,0,0,,0,0,70,12,52,6,0,
Cheyenne,1,0,0,,0,1,3,2,1,0,0,
Conejos,6,0,1,,0,5,62,59,1,2,0,
Crowley,5,1,1,,0,3,58,31,20,7,0,
Custer,7,0,1,,0,6,99,22,70,7,5,
Delta,16,0,13,,1,2,149,49,79,21,0,
Dolores,5,0,0,,1,4,17,7,8,2,0,
Eagle5,33,0,14,,0,19,,37,,15,3,
Fremont,28,0,1,,3,24,208,60,123,25,2,
Garfield,39,1,15,,2,21,231,57,156,18,3,
Gunnison,3,0,0,,1,2,25,1,23,1,0,
Hinsdale,4,0,1,,0,3,6,2,4,0,0,
Jackson,0,0,0,,0,0,5,0,4,1,0,
Kit Carson,5,0,0,,0,5,36,11,21,4,0,
La Plata,49,0,22,,1,26,265,75,164,26,3,
Lake,6,0,3,,0,3,41,5,34,2,1,
Lincoln,1,0,0,,0,1,23,13,7,3,0,
Logan,15,0,11,,0,4,125,39,58,28,0,
Moffat,3,0,1,,0,2,45,10,31,4,1,
Montezuma,21,0,1,,2,18,174,47,117,10,1,
Montrose,12,0,6,,1,5,229,93,118,18,2,
Morgan,10,0,0,,1,9,116,35,71,10,4,
Otero,8,0,0,,0,8,78,34,36,8,0,
Phillips,3,0,0,,0,3,4,1,3,0,0,
Pitkin,5,0,3,,0,2,55,6,41,8,2,
Prowers,3,0,1,,0,2,23,6,12,5,0,
Rio Blanco,0,0,0,,0,0,25,2,22,1,0,
Rio Grande,2,0,0,,0,2,12,6,4,2,0,
Routt,7,0,6,,0,1,37,6,28,3,1,
Saguache,4,0,0,,0,4,25,7,14,4,0,
San Juan,0,0,0,,0,0,10,1,8,1,0,
San Miguel,7,0,1,,0,6,3,2,1,0,0,
Summit,30,0,20,,2,8,241,49,183,9,2,
Washington,7,0,5,,0,2,88,24,61,3,1,
New Castle County Police Department,969,14,44,,212,699,"5,485","1,318","3,667",500,1,DELAWARE - Metropolitan Counties
Alachua,519,1,62,,75,381,"2,044",545,"1,377",122,14,FLORIDA - Metropolitan Counties
Baker,118,1,4,,8,105,316,103,194,19,0,
Bay,375,4,40,,41,290,"2,433",536,"1,716",181,6,
Brevard,756,6,42,,101,607,"4,494","1,038","3,096",360,19,
Broward,380,3,20,,92,265,768,160,529,79,4,
Charlotte,379,4,35,,19,321,"2,456",408,"1,948",100,5,
Citrus,338,4,40,,39,255,"1,979",426,"1,443",110,8,
Clay,450,3,87,,81,279,"3,256",618,"2,475",163,13,
Collier,941,7,65,,166,703,"3,994",742,"3,028",224,16,
Escambia,"1,614",12,153,,308,"1,141","8,129","1,618","5,958",553,29,
Flagler,221,0,16,,29,176,"1,646",306,"1,255",85,7,
Gadsden,69,2,6,,5,56,379,173,193,13,2,
Gulf,37,0,3,,1,33,163,59,99,5,2,
Hernando,412,4,62,,60,286,"3,113",620,"2,283",210,18,
Highlands,271,4,21,,40,206,"2,066",548,"1,420",98,10,
Hillsborough,"1,926",27,173,,352,"1,374","13,758","2,600","9,972","1,186",75,
Indian River,226,1,11,,24,190,"1,782",390,"1,275",117,1,
Jefferson,87,0,10,,2,75,152,65,72,15,0,
Lake,472,2,52,,36,382,"2,686",711,"1,747",228,12,
Lee,"1,379",21,175,,252,931,"6,196","1,427","4,336",433,50,
Leon,394,1,39,,42,312,"2,397",670,"1,594",133,12,
Manatee,"1,349",18,120,,169,"1,042","5,491","1,070","4,086",335,21,
Marion,679,8,58,,93,520,"4,403","1,405","2,529",469,5,
Martin,304,6,45,,48,205,"1,909",323,"1,509",77,8,
Miami-Dade,"6,278",84,409,,"1,537","4,248","36,318","4,605","28,416","3,297",25,
Nassau,137,3,19,,4,111,956,474,433,49,4,
Okaloosa,585,4,76,,51,454,"3,057",525,"2,384",148,4,
Orange,"5,106",61,498,,"1,159","3,388","25,493","6,091","17,208","2,194",0,
Osceola,835,7,79,,83,666,"4,671","1,240","3,173",258,5,
Palm Beach,"2,005",25,216,,436,"1,328","13,158","2,968","9,080","1,110",55,
Pasco,"1,391",10,165,,169,"1,047","8,594","1,786","6,140",668,41,
Pinellas,727,5,111,,149,462,"5,839",907,"4,511",421,22,
Polk,"1,374",14,139,,135,"1,086","6,506","1,748","4,124",634,26,
Santa Rosa,201,6,52,,16,127,"1,571",349,"1,134",88,6,
Sarasota,494,5,31,,68,390,"4,586",797,"3,598",191,1,
Seminole,637,6,81,,55,495,"3,224",735,"2,350",139,2,
St. Johns,346,4,13,,32,297,"2,896",602,"2,177",117,4,
St. Lucie,237,3,29,,30,175,"1,659",369,"1,186",104,9,
Sumter,237,0,21,,8,208,891,225,627,39,1,
Volusia,609,4,81,,100,424,"4,088",922,"2,881",285,15,
Wakulla,52,1,3,,4,44,504,134,350,20,2,
Walton,175,3,16,,10,146,"1,311",333,901,77,3,
Bradford,75,1,4,,1,69,211,96,102,13,1,FLORIDA - Nonmetropolitan Counties
Calhoun,17,0,1,,0,16,48,16,29,3,0,
Columbia,186,1,14,,13,158,995,425,505,65,0,
DeSoto,99,1,12,,8,78,622,167,411,44,6,
Dixie,80,1,13,,1,65,329,128,191,10,3,
Franklin,17,0,1,,0,16,85,20,61,4,0,
Glades,29,0,2,,2,25,128,33,85,10,0,
Hamilton,26,0,3,,1,22,169,58,99,12,1,
Hardee,50,0,8,,6,36,333,105,209,19,0,
Hendry,118,5,13,,22,78,675,281,371,23,15,
Holmes,64,0,6,,6,52,241,86,137,18,0,
Jackson,94,0,16,,6,72,681,167,474,40,2,
Lafayette,13,0,0,,0,13,60,27,31,2,1,
Levy,403,1,8,,2,392,461,139,294,28,1,
Liberty,2,1,0,,0,1,7,1,4,2,0,
Madison,126,1,6,,2,117,240,108,132,0,2,
Monroe,179,1,21,,15,142,"1,061",205,807,49,0,
Okeechobee,132,5,18,,10,99,953,204,680,69,0,
Putnam,265,4,33,,28,200,"1,201",396,743,62,11,
Suwannee,155,3,11,,8,133,404,123,243,38,0,
Taylor,182,2,9,,1,170,267,116,135,16,2,
Union,37,2,0,,2,33,60,25,34,1,1,
Washington,30,0,3,,3,24,167,60,92,15,1,
Augusta-Richmond,845,18,,66,323,438,"8,643","1,637","6,560",446,,GEORGIA - Metropolitan Counties
Bartow,338,0,,27,33,278,"2,181",508,"1,451",222,0,
Bibb,756,15,,53,261,427,"7,934","1,939","5,395",600,67,
Brantley,40,0,,7,5,28,478,119,344,15,0,
Brooks,35,0,,0,4,31,179,50,118,11,1,
Bryan,93,2,,5,1,85,269,74,188,7,2,
Burke,55,3,,0,0,52,447,103,325,19,0,
Butts,90,1,,2,7,80,368,71,276,21,0,
Carroll,165,1,,19,21,124,"1,398",484,786,128,16,
Catoosa,74,2,,5,8,59,904,165,584,155,7,
Cherokee,123,4,,25,15,79,"1,568",286,"1,256",26,5,
Clarke,0,0,,0,0,0,0,0,0,0,0,
Clayton,6,0,,0,1,5,27,5,19,3,0,
Clayton County Police Department,"1,504",39,,162,603,700,"8,686","2,348","5,081","1,257",16,
Cobb,79,0,,5,8,66,39,8,31,0,0,
Cobb County Police Department,"1,262",16,,88,461,697,"11,609","2,184","8,490",935,33,
Columbia,65,8,,9,17,31,"1,952",202,"1,680",70,4,
Coweta,116,0,,16,25,75,"1,372",336,940,96,6,
Crawford,23,0,,2,2,19,252,62,167,23,0,
Dawson,24,0,,6,2,16,442,73,331,38,1,
DeKalb,0,0,,0,0,0,0,0,0,0,0,
DeKalb County Police Department,"3,452",76,,138,"1,595","1,643","23,887","6,024","14,072","3,791",141,
Dougherty,1,0,,0,0,1,171,0,171,0,0,
Dougherty County Police Department,44,0,,3,8,33,308,107,183,18,0,
Douglas,235,7,,13,60,155,"2,636",488,"2,015",133,6,
Echols,3,0,,1,0,2,27,12,14,1,0,
Effingham,41,0,,6,7,28,435,192,199,44,0,
Fayette,33,1,,4,11,17,405,104,276,25,0,
Floyd,16,0,,1,4,11,81,21,56,4,0,
Floyd County Police Department,84,1,,17,11,55,"1,216",351,754,111,10,
Fulton,11,0,,2,1,8,11,0,11,0,0,
Fulton County Police Department,"1,067",18,,52,333,664,"6,005","1,146","3,863",996,4,
Glynn,0,0,,0,0,0,0,0,0,0,0,
Glynn County Police Department,201,2,,10,36,153,"1,852",422,"1,316",114,5,
Gwinnett County Police Department,"1,738",24,,152,745,817,"14,726","3,182","10,384","1,160",53,
Hall,215,3,,22,27,163,"1,999",413,"1,368",218,24,
Haralson,125,1,,1,3,120,456,146,271,39,1,
Harris,41,0,,1,1,39,227,90,119,18,2,
Heard,20,0,,0,1,19,122,40,60,22,0,
Henry,0,0,,0,0,0,135,0,135,0,0,
Henry County Police Department,334,7,,39,120,168,"4,136",994,"2,697",445,12,
Houston,127,0,,9,11,107,"1,087",206,828,53,0,
Jasper,56,0,,0,2,54,166,56,98,12,0,
Jones,21,0,,1,6,14,418,130,254,34,0,
Lamar,18,1,,1,2,14,135,25,89,21,0,
Lanier,28,0,,3,0,25,122,23,91,8,,
Lee,40,0,,4,8,28,576,112,452,12,,
Liberty,99,0,,1,8,90,276,79,176,21,,
Lincoln,25,2,,2,1,20,178,31,140,7,0,
Long,7,1,,1,2,3,171,77,77,17,0,
Lowndes,91,0,,3,6,82,720,229,440,51,,
Madison,58,0,,7,8,43,436,125,270,41,5,
Marion,2,0,,0,0,2,30,17,10,3,0,
McDuffie,31,0,,4,7,20,235,103,117,15,2,
McIntosh,23,0,,4,7,12,285,83,183,19,2,
Meriwether,43,0,,2,3,38,254,72,173,9,2,
Monroe,22,0,,1,0,21,355,90,236,29,1,
Newton,364,7,,14,43,300,"1,412",377,862,173,,
Oconee,39,2,,0,0,37,507,84,404,19,0,
Oglethorpe,46,0,,4,3,39,293,61,214,18,0,
Paulding,185,1,,10,17,157,"2,230",418,"1,540",272,40,
Peach,26,2,,4,3,17,257,83,151,23,0,
Pickens,64,0,,5,0,59,345,77,226,42,,
Pike,12,0,,1,0,11,228,41,178,9,0,
Rockdale,171,4,,15,30,122,"1,628",320,"1,187",121,9,
Spalding,147,0,,13,18,116,"1,220",289,809,122,2,
Terrell,10,1,,0,1,8,69,25,42,2,0,
Walton,73,0,,8,10,55,795,171,542,82,0,
Whitfield,204,0,,27,9,168,"1,424",349,953,122,11,
Worth,36,0,,4,0,32,238,79,147,12,0,
Baldwin,259,5,,3,12,239,638,154,453,31,2,GEORGIA - Nonmetropolitan Counties
Banks,57,0,,5,5,47,445,134,290,21,1,
Ben Hill,29,1,,1,3,24,223,81,133,9,0,
Berrien,14,0,,5,1,8,181,49,126,6,0,
Bleckley,12,0,,0,1,11,151,34,109,8,0,
Bulloch,28,1,,3,7,17,526,154,341,31,2,
Calhoun,4,0,,0,0,4,9,1,7,1,0,
Camden,25,0,,0,5,20,257,84,163,10,,
Charlton,12,0,,0,1,11,96,38,40,18,0,
Chattooga,26,0,,2,3,21,346,101,233,12,0,
Clay,4,0,,0,0,4,3,1,2,0,0,
Clinch,8,0,,0,0,8,56,19,30,7,1,
Coffee,65,1,,7,3,54,780,190,528,62,10,
Cook,12,0,,1,4,7,112,31,72,9,0,
Crisp,13,0,,0,2,11,363,52,304,7,0,
Decatur,48,1,,4,2,41,254,81,163,10,0,
Dodge,22,0,,1,2,19,284,86,187,11,0,
Dooly,6,0,,0,1,5,81,11,56,14,1,
Early,15,0,,1,0,14,84,21,55,8,0,
Elbert,27,0,,1,0,26,295,99,166,30,0,
Emanuel,10,1,,0,0,9,260,94,149,17,0,
Evans,7,0,,0,2,5,26,17,6,3,0,
Fannin,19,0,,0,1,18,289,103,161,25,4,
Franklin,9,1,,2,1,5,234,58,161,15,1,
Gilmer,65,1,,7,3,54,349,119,209,21,0,
Glascock,4,0,,0,0,4,18,8,7,3,0,
Gordon,106,3,,6,5,92,711,175,480,56,0,
Grady,30,0,,1,1,28,181,79,91,11,0,
Greene,15,0,,0,0,15,157,27,124,6,0,
Habersham,50,1,,9,5,35,348,141,186,21,0,
Hancock,19,0,,0,2,17,113,28,75,10,0,
Hart,51,0,,3,1,47,294,87,200,7,0,
Irwin,6,0,,0,0,6,100,40,54,6,0,
Jackson,105,0,,6,7,92,756,120,601,35,,
Jeff Davis,25,1,,2,0,22,150,45,99,6,0,
Jefferson,28,0,,3,1,24,100,49,45,6,0,
Laurens,84,0,,5,2,77,504,162,297,45,1,
Lumpkin,12,1,,7,3,1,443,101,321,21,3,
Miller,2,0,,0,0,2,28,9,19,0,,
Mitchell,36,0,,2,1,33,258,65,184,9,0,
Pierce,50,2,,5,4,39,247,82,162,3,0,
Polk,0,0,,0,0,0,0,0,0,0,0,
Polk County Police Department,39,1,,4,5,29,590,167,340,83,,
Putnam,34,0,,1,0,33,358,94,258,6,,
Quitman,5,0,,0,0,5,36,15,21,0,,
Rabun,14,0,,0,0,14,260,62,189,9,0,
Randolph,15,0,,0,1,14,53,24,27,2,0,
Schley,2,0,,1,0,1,20,6,13,1,0,
Screven,13,0,,1,2,10,146,65,62,19,0,
Seminole,21,0,,0,0,21,70,17,49,4,0,
Stephens,35,1,,7,3,24,312,77,229,6,0,
Stewart,0,0,,0,0,0,3,0,2,1,,
Sumter,33,0,,6,4,23,212,60,137,15,0,
Talbot,6,0,,0,0,6,67,30,31,6,0,
Taliaferro,2,0,,0,1,1,30,11,17,2,0,
Tattnall,29,1,,4,4,20,244,72,163,9,0,
Taylor,9,0,,0,0,9,80,32,39,9,1,
Thomas,63,0,,7,12,44,484,147,289,48,6,
Tift,95,3,,4,13,75,711,183,500,28,0,
Towns,39,1,,0,0,38,128,52,70,6,0,
Treutlen,2,0,,0,0,2,54,16,33,5,,
Troup,42,0,,10,7,25,665,159,455,51,0,
Turner,7,0,,1,0,6,43,12,27,4,,
Union,21,0,,4,1,16,243,60,160,23,0,
Upson,30,0,,3,8,19,262,58,181,23,0,
Ware,82,0,,4,12,66,604,143,440,21,9,
Warren,10,0,,1,1,8,62,21,36,5,,
Washington,14,0,,0,1,13,131,35,84,12,0,
Wayne,149,1,,6,4,138,731,169,528,34,2,
Webster,1,0,,0,0,1,7,3,4,0,0,
White,30,0,,2,0,28,287,80,177,30,0,
Wilcox,12,0,,1,0,11,61,34,27,0,0,
Wilkes,30,1,,2,4,23,21,7,13,1,1,
Wilkinson,13,2,,0,0,11,40,12,20,8,3,
Maui Police Department,450,5,77,,68,300,"5,741",978,"4,046",717,150,HAWAII - Metropolitan Counties
Hawaii Police Department,467,9,115,,69,274,"4,928",823,"3,580",525,41,HAWAII - Nonmetropolitan Counties
Kauai Police Department,169,5,45,,21,98,"1,492",458,968,66,31,
Ada,202,1,53,,12,136,700,154,502,44,9,IDAHO - Metropolitan Counties
Bannock,5,1,0,,0,4,35,7,25,3,2,
Boise,14,1,1,,0,12,63,12,46,5,0,
Bonneville,151,0,11,,5,135,682,191,455,36,6,
Butte,0,0,0,,0,0,3,0,3,0,0,
Canyon,93,1,14,,0,78,528,212,271,45,6,
Franklin,2,0,0,,0,2,49,4,42,3,0,
Gem,19,0,3,,0,16,31,10,19,2,2,
Jefferson,17,0,3,,0,14,117,32,81,4,0,
Kootenai,103,6,19,,6,72,"1,174",346,769,59,11,
Nez Perce,8,0,1,,1,6,108,31,72,5,0,
Owyhee,18,1,1,,0,16,65,15,43,7,1,
Adams,4,0,0,,0,4,33,3,27,3,0,IDAHO - Nonmetropolitan Counties
Bear Lake,2,0,0,,0,2,26,12,14,0,0,
Benewah,18,2,1,,0,15,71,22,43,6,0,
Bingham,41,0,15,,0,26,203,52,111,40,2,
Blaine,5,0,1,,0,4,42,14,24,4,1,
Bonner,63,1,13,,2,47,376,150,198,28,3,
Boundary,6,0,2,,0,4,85,40,39,6,1,
